node,degree,in_degree,out_degree,betweenness,clustering,closeness,pagerank
1,26,11,15,0.024176601710371188,0.033846153846153845,0.37867298578199055,0.0034690456561045396
0,43,24,19,0.08965377509995429,0.03986710963455149,0.4218585005279831,0.00925305394136965
2,4,1,3,0.0019617620495628236,0.3333333333333333,0.3479965156794425,0.0006781180647991196
3,48,26,22,0.07710785338896912,0.013297872340425532,0.39751243781094525,0.008795381486961979
4,83,37,46,0.15403543743304624,0.014692918013517485,0.4456218627997769,0.011154812992337918
5,72,39,33,0.14610811229274864,0.020735524256651018,0.4397358282883875,0.014554513229386123
6,78,43,35,0.1339192400601573,0.012987012987012988,0.4321254732287723,0.016303284097606452
7,71,32,39,0.12797382423421796,0.01609657947686117,0.4277301927194861,0.013961831945503362
10,42,19,23,0.04751828078475218,0.013937282229965157,0.3871124031007752,0.0048084166465876856
13,17,11,6,0.014834082931542054,0.014705882352941176,0.356537260151718,0.002875188016092155
18,13,6,7,0.01741576925974613,0.05128205128205128,0.34997809899255367,0.003203532271957773
21,9,5,4,0.010478806928681422,0.1388888888888889,0.34845180985608376,0.004344583028039556
25,24,13,11,0.03557708709874494,0.028985507246376812,0.37582314205079964,0.0056525979267919935
41,16,9,7,0.014697166296061255,0.041666666666666664,0.33956651083722905,0.003184386093563325
43,13,10,3,0.013328177776696206,0.02564102564102564,0.34306569343065696,0.005136920264096648
49,10,5,5,0.005419417996507259,0.08888888888888889,0.3357142857142857,0.0014440455436680608
53,9,4,5,0.005783645091171609,0.05555555555555555,0.3278621255642183,0.0014571590886288393
54,12,7,5,0.008551168782185073,0.0,0.3199839807769323,0.0030701744827236225
62,8,3,5,0.005750717201524737,0.07142857142857142,0.3389902418328384,0.0007546828663840044
67,6,3,3,0.0027451306739571736,0.13333333333333333,0.33599663582842726,0.0007263286765681708
68,7,3,4,0.007065134244241242,0.09523809523809523,0.3330554397665694,0.0018643419574684778
74,11,7,4,0.00776522361696441,0.05454545454545454,0.3518273888154998,0.0026225427022988313
94,12,2,10,0.002644942710957424,0.06060606060606061,0.3262556145365455,0.0010227223892893312
